Aktor;Rezyser;Tytul;Gatunek;Dlugosc;Ocena;Glosy;Box_office;Ocena_rezysera;Ocena_aktora;Oscary
Brad Pitt;David Fincher;The Curious Case of Benjamin Button;Drama,Fantasy,Romance;166;7.8;485075;127.49;8.72;8.63;1
Rachel Weisz;Peter Jackson;The Lovely Bones;Drama,Fantasy,Thriller;135;6.7;130702;43.98;8.48;7.85;0
Daniel Day-Lewis;Paul Thomas Anderson;There Will Be Blood;Drama,History;158;8.1;400682;40.22;8.22;8.6;1
Tom Hanks;Steven Spielberg;Bridge of Spies;Drama,History,Thriller;142;7.6;217938;72.31;8.21;8.81;1
Johnny Depp;Tim Burton;Sweeney Todd: The Demon Barber of Fleet Street;Drama,Horror,Musical;116;7.4;296289;52.88;8.32;8.77;1
Christian Bale;Christopher Nolan;The Prestige;Drama,Mystery,Sci-Fi;130;8.5;913152;53.08;8.77;8.61;0
Amy Adams;Denis Villeneuve;Arrival;Drama,Mystery,Sci-Fi;116;8;340798;100.5;8.3;7.63;1
Leonardo DiCaprio;Sam Mendes;Revolutionary Road;Drama,Romance;119;7.3;159736;22.88;7.89;8.96;0
Hugh Jackman;Darren Aronofsky;The Fountain;Drama,Sci-Fi;96;7.3;199193;10.14;8.18;8.43;0
Jake Gyllenhaal;Antoine Fuqua;Southpaw;Drama,Sport;124;7.4;169083;52.42;7.16;8.71;0
Denzel Washington;Robert Zemeckis;Flight;Drama,Thriller;138;7.3;276347;93.75;8.21;8.49;0
Natalie Portman;Darren Aronofsky;Black Swan;Drama,Thriller;108;8;581518;106.95;8.18;8.14;1
Vera Farmiga;James Wan;The Conjuring 2;Thriller;134;7.4;137203;102.46;7.9;8.16;0
James McAvoy;M. Night Shyamalan;Split;Thriller;117;7.3;157606;138.12;6.46;8.16;0
Jake Gyllenhaal;Denis Villeneuve;Enemy;Thriller;91;6.9;111558;1.01;8.3;8.71;0
Leonardo DiCaprio;Martin Scorsese;Shutter Island;Thriller;138;8.1;855604;127.97;8.68;8.96;0
Tom Hanks;Ron Howard;The Da Vinci Code;Thriller;149;6.6;338280;217.54;7.61;8.81;0
Kurt Russell;Quentin Tarantino;Death Proof;Thriller;113;7.1;220236;30.7;8.87;8.18;0
